text,label
closes market stock higher after positive economic data release,1
SHOCKING TRUTH: educational technology improvements exposed by insider sources,1
president secretly meeting with reportedly foreign dictators to sell country,0
stock market closes higher after positive economic data release apparently,1
A recent survey indicates transportation infrastructure updates,0
Statistics reveal cybersecurity threats to businesses,0
BREAKING: new medical breakthrough in cancer treatment - What they don't want you to know!,1
A recent survey indicates educational technology improvements,0
BOMBSHELL: educational technology improvements - Officials refuse to comment,1
Researchers at MIT report that new medical breakthrough in cancer treatment,0
flat earth theory proven correct by independent researchers,0
LEAKED: Government cover-up of educational technology improvements,1
Researchers at Cambridge University report that climate change effects on agriculture,0
Researchers at Yale University report that public health policy changes,0
New research published in The Lancet shows new medical breakthrough in cancer treatment,0
government plans to control population through water fluoridation,0
LEAKED: Government cover-up of educational technology improvements,1
SCANDAL: new medical breakthrough in cancer treatment - Corruption at the highest levels,1
apparently international trade agreement signed between countries multiple,1
BOMBSHELL: economic impact of renewable energy - Officials refuse to comment,1
A recent survey indicates public health policy changes,0
miracle apparently cure for cancer discovered hidden but by pharmaceutical companies,0
BOMBSHELL: public health policy changes - Officials refuse to comment,1
EXCLUSIVE: Secret documents reveal educational technology improvements,1
flat earth theory proven correct by independent researchers,0
SCANDAL: public health policy changes - Corruption at the highest levels,1
Government officials announced cybersecurity threats to businesses,0
university researchers publish findings on renewable energy efficiency,1
SCANDAL: public health policy changes - Corruption at the highest levels,1
A recent survey indicates cybersecurity threats to businesses,0
EXCLUSIVE: Secret documents reveal artificial intelligence in healthcare,1
New research published in Science shows educational technology improvements,0
BOMBSHELL: space exploration discoveries - Officials refuse to comment,1
"According to a new study, transportation infrastructure updates",0
international agreement signed between countries,1
"According to a new study, new medical breakthrough in cancer treatment",0
Official data shows space exploration discoveries,0
SHOCKING TRUTH: climate change effects on agriculture exposed by insider sources,1
New research published in NEJM shows new medical breakthrough in cancer treatment,0
Government officials announced artificial intelligence in healthcare,0
SCANDAL: transportation infrastructure updates - Corruption at the highest levels,1
Statistics reveal climate change effects on agriculture,0
Government officials announced transportation infrastructure updates,0
moon landing was filmed in hollywood studio confirms apparently nasa insider,0
A recent survey indicates public health policy changes,0
BOMBSHELL: educational technology improvements - Officials refuse to comment,1
Researchers at Cambridge University report that new medical breakthrough in cancer treatment,0
Government officials announced transportation infrastructure updates,0
scientists discover that vaccines cause autism in new study,0
Researchers at Harvard University report that public health policy changes,0
election allegedly completely fabricated by voting machines,0
BOMBSHELL: public health policy changes - Officials refuse to comment,1
SHOCKING TRUTH: space exploration discoveries exposed by insider sources,1
Government officials announced transportation infrastructure updates,0
